Czas; Temperatura
892; 6 000
893; 0
894; 6 000
895; 0
896; 6 000
897; 0
898; 6 000
899; 0
900; 6 000
901; 0
902; 6 000
903; 0
904; 6 000
905; 0
906; 6 000
907; 0
908; 6 000
909; 0
910; 6 000
911; 0
912; 6 000
913; 0
914; 6 000
915; 0
916; 6 000
917; 0
918; 6 000
919; 0
920; 6 000
921; 0
922; 6 000
923; 0
924; 6 000
925; 0
926; 6 000
927; 0
928; 6 000
929; 0
930; 6 000
931; 0
932; 6 000
933; 0
934; 6 000
935; 0
936; 6 000
937; 0
938; 6 000
939; 0
940; 6 000
941; 0
942; 6 000
943; 0
944; 6 000
945; 0
946; 6 000
947; 0
948; 6 000
949; 0
950; 6 000
951; 0
952; 6 000
953; 0
954; 6 000
955; 0
956; 6 000
957; 0
958; 6 000
959; 0
960; 6 000
961; 0
962; 6 000
963; 0
964; 6 000
965; 0
966; 6 000
967; 0
968; 6 000
969; 0
970; 6 000
971; 0
972; 6 000
973; 0
974; 6 000
975; 0
976; 6 000
977; 0
978; 6 000
979; 0
980; 6 000
981; 0
982; 6 000
983; 0
984; 6 000
985; 0
986; 6 000
987; 0
988; 6 000
989; 0
990; 6 000
991; 0
992; 6 000
993; 0
994; 6 000
995; 0
996; 6 000
997; 0
998; 6 000
999; 0
1 000; 6 000
